Model ID,Name,Type,Provider,Capability,LoRA,Negative Prompt,Reference Images,@element,Duration,Audio,Tier,Notes
sora-2,Sora 2.0,video,openai,text-to-video,N,N,N,N,5s,N,standard,$0.10/s
fal-ai/wan/v2.2-a14b/image-to-video,Wan 2.2 I2V,video,fal,image-to-video,N,Y,Y (required),Y,5s,N,quality,Natural motion
fal-ai/wan/v2.2-a14b/image-to-video/lora,Wan 2.2 I2V LoRA,video,fal,image-to-video,Y,Y,Y (required),Y,5s,N,quality,Custom styles
fal-ai/wan-25-preview/image-to-video,Wan 2.5 I2V,video,fal,image-to-video,N,Y,Y (required),Y,5s,N,pro,Highest quality
fal-ai/wan-2.1-i2v-14b,Wan 2.1 I2V (14B),video,fal,image-to-video,N,Y,Y (required),Y,5s,N,quality,Large model
fal-ai/ltx-video/image-to-video,LTX-Video I2V,video,fal,image-to-video,N,Y,Y (required),N,6s/10s,N,fast,Fast ~10s
fal-ai/kling-video/v2.1/standard/image-to-video,Kling 2.1 I2V,video,fal,image-to-video,N,Y,Y (required),N,5s,N,quality,Balanced
fal-ai/kling-video/v2.6/pro/image-to-video,Kling 2.6 Pro I2V,video,fal,image-to-video,N,Y,Y (required),N,5s/10s,N,pro,Professional
fal-ai/kling-video/o1/image-to-video,Kling O1 I2V,video,fal,image-to-video,N,Y,Y (required),N,5s/10s,N,pro,Reasoning-based
fal-ai/minimax-video/image-to-video,MiniMax I2V,video,fal,image-to-video,N,N,Y (required),N,6s/10s,N,fast,Expressive
fal-ai/luma-dream-machine/image-to-video,Luma I2V,video,fal,image-to-video,N,Y,Y (required),N,5s,N,quality,Ethereal
fal-ai/runway-gen3/turbo/image-to-video,Runway Gen3 Turbo,video,fal,image-to-video,N,N,Y (required),N,5s/10s,N,fast,Fast cinematic
fal-ai/vidu/q2/reference-to-video,Vidu Q2 Reference,video,fal,image-to-video,N,N,Y (up to 7),N,4s,N,quality,Multi-character
fal-ai/one-to-all-animation/14b,One-To-All Animation,video,fal,avatar,N,N,Y + Motion Video,N,N/A,N,quality,Pose-driven
fal-ai/wan-video-2.2-animate-move,Wan Animate Move,video,fal,avatar,N,N,Y + Motion Video,N,N/A,N,quality,Motion transfer
fal-ai/kling-video/ai-avatar/v2/pro,Kling Avatar Pro,video,fal,avatar,N,N,Y (face),N,N/A,Y,pro,Talking head + lipsync
fal-ai/kling-video/ai-avatar/v2/standard,Kling Avatar,video,fal,avatar,N,N,Y (face),N,N/A,Y,fast,Fast talking head
fal-ai/creatify/aurora,Creatify Aurora,video,fal,avatar,N,N,Y,N,N/A,Y,pro,Ultra-realistic
fal-ai/wan-vace-14b/inpainting,Wan VACE Inpaint,video,fal,video-editing,N,N,Y (video) + Mask,N,N/A,N,quality,Region editing
fal-ai/kling-video/o1/video-to-video/edit,Kling O1 V2V,video,fal,video-editing,N,N,Y (video),N,N/A,N,pro,AI transformation
